 ----------------------------------------------------------------------
A-Z list of the European top 500 ----------------------------------------------------------------------
A                                       RANK ----------------------------------------------------------------------
A/S D/S Svendborg                        148
Aare-Tessin                              493
ABB Asea Brown Boveri                     47
Abbey National                            69
ABN Amro Holding                          57
Accor                                    211
Aegon                                    120
AGA                                      225
AGF                                       80
AGIV                                     411
Ahold                                    230
Akzo                                     133
Alcatel Alsthom                           18
Alleanza                                  90
Allianz Holding                            4
Allianz Lebensversicherungs               96
Allied Colloids Group                    484
Allied Irish Banks                       217
Allied-Lyons                              76
Almanij                                  402
Altana                                   434
Alusuisse-Lonza Holding                  290
AMB Aachener & Muenchener Beteil         154
Anglian Water                            236
Argentaria                               107
Argos                                    347
Argyll Group                             114
Arjo Wiggins Appleton                    213
Asda Group                               224
Asko Deutsche Kaufhaus                   329
Assitalia                                499
Associated British Foods                 173
Associated British Ports                 403
Astra                                     32
Atlas Copco                              317
Audiofina                                416
Autopistas                               273
AVA                                      371
Axa                                       68 ----------------------------------------------------------------------
B                                       RANK ----------------------------------------------------------------------
BAA                                       83
Baden-Wuerttembergische Bank             412
Badenwerk                                259
Baer Holdings                            483
Baloise Holding                          343
Baltica Forsikring                       477
Banca Commerciale Italiana               219
Bancaire (Compagnie)                     266
Banco Ambrosiano Veneto                  400
Banco Bilbao Vizcaya                      92
Banco Central Hispanoamericano           113
Banco Comercial Portugues                377
Banco de Santander                       101
Banco Exterior                           171
Banco Popular Espanol                    160
Banesto Group                            184
Bank Austria                             124
Bank of Ireland                          299
Bank of Scotland                         192
Bankinter                                398
Banque Bruxelles Lambert                 267
Barclays                                  31
BASF                                      63
Bass                                      93
BAT Industries                            11
Bayer                                     34
Bayerische Hypo. & Wechsel Bk             97
Bayerische Motoren Werke                  99
Bayerische Vereinsbank                    94
BBA Group                                467
Beiersdorf                               281
Bekaert                                  432
Berendsen (Sophus)                       314
Bergesen dy Group                      456
Berliner Bank                            248
Berliner Kraft und Licht                 369
BET                                      291
BHF Bank                                 263
BIC                                      368
BICC                                     243
Bilfinger & Berger                       323
Blue Circle Industries                   190
BOC Group                                128
Bols Wessanen                            298
Bon Marche                               452
Bongrain                                 479
Booker                                   404
Boots Company                             78
Bouygues                                 239
Bowater Industries                       161
BPB Industries                           268
Britannic Assurance                      390
British Aerospace                        231
British Airways                          109
British Gas                               13
British Land                             313
British Petroleum                          9
British Steel                            147
BSN Groupe                                53
BT                                         2
BTR                                       16
Bunzl                                    489
Burmah Castrol                           250
Burton Group                             344 ----------------------------------------------------------------------
C                                       RANK ----------------------------------------------------------------------
CGIP                                 410
Cable & Wireless                          24
Cadbury Schweppes                        103
Canal +                                  129
Cap Gemini Sogeti                        351
Caradon Group                            251
Carlsberg                                229
Carlton Communications                   247
CarnaudMetalbox                          205
Carrefour                                 75
Casino                                   330
Castorama Dubois                         339
Centros Comerciales Pryca                264
Cetelem                                  210
Chargeurs                                376
Christian Dior                           302
Chubb Security                           366
Ciba                                      26
Cimenteries CBR                          361
Coats Viyella                            227
Cobepa                                   431
Codan Group                              485
Colas                                    481
Commercial Union                         117
Commerzbank                              105
Compania Espanola de Pet.                356
Comptoirs Modernes                       423
Continental                              414
Cookson Group                            326
Courtaulds                               182
Credit Comm de France                    215
